1 1 0.0
1 1 0.0
1 2 0.0
1 2 0.0
1 4 0.0
1 4 0.0
1 8 0.0
1 8 0.0
1 16 0.0
1 16 0.0
1 32 0.0
1 32 0.0
1 64 0.0
1 64 0.0
1 128 0.0
1 128 0.0
1 256 0.0
1 256 0.0
1 512 0.0
1 512 0.0
1 1024 0.0
1 1024 0.0
1 2048 0.0
1 2048 0.0
1 4096 0.0
1 4096 0.0
1 8192 0.0
1 8192 0.0
1 16384 0.0
1 16384 0.0
1 32768 0.0
1 32768 0.0
1 1 0.0
1 1 425391272
1 2 425391272
1 2 413453090
1 4 413453090
1 4 412887614
1 8 412887614
1 8 0
1 16 0
1 16 0
1 32 0
1 32 0
1 64 0
1 64 0
1 128 0
1 128 0
1 256 0
1 256 0
1 512 0
1 512 0
1 1024 0
1 1024 0
1 2048 0
1 2048 0
1 4096 0
1 4096 0
1 8192 0
1 8192 0
1 16384 0
1 16384 0
1 32768 0
1 32768 0.0

1.5 1 0.0
1.5 1 425391272
1.5 2 425391272
1.5 2 413453090
1.5 4 413453090
1.5 4 412887614
1.5 8 412887614
1.5 8 0
1.5 16 0
1.5 16 0
1.5 32 0
1.5 32 0
1.5 64 0
1.5 64 0
1.5 128 0
1.5 128 0
1.5 256 0
1.5 256 0
1.5 512 0
1.5 512 0
1.5 1024 0
1.5 1024 0
1.5 2048 0
1.5 2048 0
1.5 4096 0
1.5 4096 0
1.5 8192 0
1.5 8192 0
1.5 16384 0
1.5 16384 0
1.5 32768 0
1.5 32768 0.0

1.5 1 0.0
1.5 1 0
1.5 2 0
1.5 2 0
1.5 4 0
1.5 4 0
1.5 8 0
1.5 8 0
1.5 16 0
1.5 16 0
1.5 32 0
1.5 32 0
1.5 64 0
1.5 64 0
1.5 128 0
1.5 128 0
1.5 256 0
1.5 256 0
1.5 512 0
1.5 512 0
1.5 1024 0
1.5 1024 0
1.5 2048 0
1.5 2048 0
1.5 4096 0
1.5 4096 0
1.5 8192 0
1.5 8192 0
1.5 16384 0
1.5 16384 0
1.5 32768 0
1.5 32768 0.0

2 1 0.0
2 1 0
2 2 0
2 2 0
2 4 0
2 4 0
2 8 0
2 8 0
2 16 0
2 16 0
2 32 0
2 32 0
2 64 0
2 64 0
2 128 0
2 128 0
2 256 0
2 256 0
2 512 0
2 512 0
2 1024 0
2 1024 0
2 2048 0
2 2048 0
2 4096 0
2 4096 0
2 8192 0
2 8192 0
2 16384 0
2 16384 0
2 32768 0
2 32768 0.0

2 1 0.0
2 1 235780820
2 2 235780820
2 2 232451104
2 4 232451104
2 4 231967648
2 8 231967648
2 8 0
2 16 0
2 16 0
2 32 0
2 32 0
2 64 0
2 64 0
2 128 0
2 128 0
2 256 0
2 256 0
2 512 0
2 512 0
2 1024 0
2 1024 0
2 2048 0
2 2048 0
2 4096 0
2 4096 0
2 8192 0
2 8192 0
2 16384 0
2 16384 0
2 32768 0
